PK,실소유(연)면적,공부면적,건물구분,건물용도,준공년도,20년 4월,20년 5월,20년 6월,20년 7월,20년 8월,20년 9월,20년 10월,20년 11월,20년 12월,21년 1월,21년 2월,21년 3월,21년 4월,21년 5월,21년 6월,21년 7월,21년 8월,21년 9월,평균
11110-100199244,2311.15,2311.15,기타,판매 및 영업시설,,0.029747096,0.046405469,0.060684075,0.079722216,0.017848257,0,0,0,0,0,0.699651689,0.699651689,0.699651689,1.399303377,1.399303377,0.699651689,0.699651689,0.699651689,7.230924001
11110-1193,5948.69,5948.69,기타,교육연구 및 복지시설,19751118,0.431775735,0.457201502,0.383697923,0.402651676,0.324987518,0.465984948,0.349026424,0.329148098,0.366131031,0.342554411,0.309269772,0.372140757,0.38554707,1.199171582,0.992991734,0.406349969,0.363357311,0.293552026,8.175539487
11140-100209993,7191.56,7191.56,기타,업무시설,20120831,24.12050766,26.46635518,36.81386252,39.70249503,40.47232087,33.98806287,25.07007693,26.12454315,30.62757507,32.85865143,26.61071604,26.93455701,25.39767009,54.38737806,72.90545994,42.78239086,41.38927235,34.06327138,640.7151664
11140-100209993,83551.04,83551.04,사무소,업무시설,20120831,24.12050766,26.46635518,36.81386252,39.70249503,40.47232087,33.98806287,25.07007693,26.12454315,30.62757507,32.85865143,26.61071604,26.93455701,25.39767009,54.38737806,72.90545994,42.78239086,41.38927235,34.06327138,640.7151664
11140-1537,8947.75,8947.75,사무소,업무시설,19350320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11140-100231722,2998,2998,기타,문화 및 집회시설,20190111,11.69623411,11.31651007,12.03009776,15.07797934,18.4743999,10.73591752,8.787768117,15.64664819,15.53199721,19.56954603,20.51885613,16.63172939,14.74228128,24.35920526,29.26259827,18.91374244,20.06942429,17.48748428,300.8524196
11140-1628,1816.92,17036.69,사무소,업무시설,19870729,14.07195294,12.29621188,15.82106031,14.74941729,14.37412432,11.69993995,10.37842445,12.23697209,14.27065645,14.35782127,11.70914068,12.16239774,8.37718477,15.05078158,17.60955326,11.09204605,11.9811272,9.437205819,231.676018
11140-100216914,1944.48,1944.48,기타,판매 및 영업시설,20141113,5.071535835,4.644429359,6.068589032,6.840774912,6.829460833,6.27365671,5.075778614,4.944252448,5.330345388,5.69381017,5.297817411,5.136591788,4.956980787,9.328457994,10.36935325,6.126573686,6.560751461,6.112431087,110.6615908
11140-1585,4419.55,4419.55,사무소,업무시설,19381101,6.954101662,3.378737654,2.030353769,2.325915534,2.424228711,2.37942777,2.335249064,2.31720424,1.985552828,31.04767454,21.24560193,4.395470127,2.962462242,5.091129187,5.888834836,2.43356224,2.514452829,2.500763652,104.2107228
11140-100220574,2009.01,2009.01,기타,판매 및 영업시설,20150415,0.090343005,0.113613173,0.194374344,0.069810504,0.125932673,0.06844167,0.117719673,0.090343005,0.075285837,0.228595179,1.252482566,1.241531899,1.268908567,2.710290143,2.688388808,1.374308739,1.582371417,1.385259406,14.67800061
11140-100205033,6911.37,6911.37,기타,교육연구 및 복지시설,20110218,8.964177869,6.431575795,7.035978395,10.1383662,12.44496388,12.04070249,7.345540754,11.06665538,17.96575787,29.90062028,26.38800267,16.88547278,11.52821365,15.79643399,15.79086346,13.69674175,19.56410234,13.06488439,256.0490539
11140-100216917,2038.86,2038.86,기타,판매 및 영업시설,20141113,0.049905339,0.192877392,0.083625163,0.080927577,0.101159471,0.080927577,0.087671542,0.067439648,0.093066714,0.273804969,0.799834221,0.408684265,0.203667736,0.326407895,0.234689974,0.132181709,0.253573075,0.203667736,3.674112003
11140-100217075,1941.43,1941.43,기타,판매 및 영업시설,20141201,2.022735818,2.011403965,2.130388425,2.121889535,1.893835987,1.767769119,2.045399525,2.102058792,2.442014391,2.446263836,2.430682538,2.059564342,2.150219168,4.221115363,4.419422797,2.182798247,1.89666895,2.147386205,42.491617
11140-100218054,4602.09,4602.09,기타,판매 및 영업시설,20141230,1.594275644,1.465801408,1.472972063,2.441010497,2.346596872,1.631324029,1.829712153,1.160451012,2.325682462,3.145527358,3.17181976,1.952808398,1.833895035,3.0989181,3.163453996,2.234256609,3.643290331,2.344804209,40.85659994
11140-100217194,1032.38,1032.38,기타,판매 및 영업시설,20141215,5.125050853,3.508155912,0.183798601,0.127859897,0.039956218,0,0.047947461,0.146506131,0.149169879,0.154497375,0.151833627,0.103886166,0.119868653,0.245064802,0.229082315,0.071921192,0.093231175,0.149169879,10.64700014
11140-100218060,1066.41,1066.41,기타,판매 및 영업시설,20150105,0.162460967,0.157303476,0.190827168,0.183090931,0.188248422,0.185669677,0.188248422,0.20114215,0.198563404,0.20114215,0.348130644,0.028366201,0.183090931,0.366181863,0.381654336,0.185669677,0.20114215,0.180512186,3.731444755
11140-8665,1966.2,1966.2,기타,문화 및 집회시설,19951227,6.545620995,5.31761774,6.085469433,6.057496694,7.555436883,7.807191537,3.986115349,7.063116672,8.768055132,6.454709592,5.447690978,3.256026854,0.81540535,0.293713763,0.302105584,0.144059607,0.148255518,0.186018716,76.2341064
11140-8629,4001.5,4001.5,사무소,공공용시설,,0.363670189,0.265664155,0.270595276,0.252719962,0.235461037,0.235461037,0.279224738,0.314975367,0.314975367,0.324837609,0.32730317,0.273677227,0.279841128,0.353807946,0.097389644,0.063488185,0.062255405,0.032052288,4.34739973
11140-100218595,11399.2,8298.83,기타,운동시설,20150116,8.853691487,8.629092392,9.041138852,9.478998526,15.79937627,9.858959401,11.94789985,13.83057583,16.38053548,21.77429118,16.62129799,15.81312724,12.74183715,23.11271844,24.84534002,13.82599217,14.18954839,14.59725244,261.3416731
11140-100196536,82464.1,82464.1,기타,문화 및 집회시설,20131130,19.40352089,24.25725992,28.85767724,30.98773949,35.39772878,26.51339537,23.53255339,21.22089363,19.06475275,21.50686921,18.34080857,20.65011776,20.23041374,52.7107342,64.44319761,36.87687338,35.05924652,30.66555241,529.7193349
